id,name,category,price,unit,image,description
1,Tomato,Vegetables,194,kg,https://source.unsplash.com/400x400/?Tomato,"Fresh Tomato from local farms. High quality vegetables product, rich in nutrients and perfect for daily use."
2,Potato,Vegetables,116,kg,https://source.unsplash.com/400x400/?Potato,"Fresh Potato from local farms. High quality vegetables product, rich in nutrients and perfect for daily use."
3,Onion,Vegetables,83,kg,https://source.unsplash.com/400x400/?Onion,"Fresh Onion from local farms. High quality vegetables product, rich in nutrients and perfect for daily use."
4,Carrot,Vegetables,88,kg,https://source.unsplash.com/400x400/?Carrot,"Fresh Carrot from local farms. High quality vegetables product, rich in nutrients and perfect for daily use."
5,Spinach,Vegetables,176,kg,https://source.unsplash.com/400x400/?Spinach,"Fresh Spinach from local farms. High quality vegetables product, rich in nutrients and perfect for daily use."
6,Cabbage,Vegetables,29,kg,https://source.unsplash.com/400x400/?Cabbage,"Fresh Cabbage from local farms. High quality vegetables product, rich in nutrients and perfect for daily use."
7,Apple,Fruits,276,kg,https://source.unsplash.com/400x400/?Apple,"Fresh Apple from local farms. High quality fruits product, rich in nutrients and perfect for daily use."
8,Banana,Fruits,152,kg,https://source.unsplash.com/400x400/?Banana,"Fresh Banana from local farms. High quality fruits product, rich in nutrients and perfect for daily use."
9,Orange,Fruits,79,kg,https://source.unsplash.com/400x400/?Orange,"Fresh Orange from local farms. High quality fruits product, rich in nutrients and perfect for daily use."
10,Mango,Fruits,194,kg,https://source.unsplash.com/400x400/?Mango,"Fresh Mango from local farms. High quality fruits product, rich in nutrients and perfect for daily use."
11,Grapes,Fruits,264,kg,https://source.unsplash.com/400x400/?Grapes,"Fresh Grapes from local farms. High quality fruits product, rich in nutrients and perfect for daily use."
12,Papaya,Fruits,22,kg,https://source.unsplash.com/400x400/?Papaya,"Fresh Papaya from local farms. High quality fruits product, rich in nutrients and perfect for daily use."
13,Milk,Dairy,51,kg,https://source.unsplash.com/400x400/?Milk,"Fresh Milk from local farms. High quality dairy product, rich in nutrients and perfect for daily use."
14,Cheese,Dairy,82,kg,https://source.unsplash.com/400x400/?Cheese,"Fresh Cheese from local farms. High quality dairy product, rich in nutrients and perfect for daily use."
15,Butter,Dairy,284,kg,https://source.unsplash.com/400x400/?Butter,"Fresh Butter from local farms. High quality dairy product, rich in nutrients and perfect for daily use."
16,Paneer,Dairy,104,kg,https://source.unsplash.com/400x400/?Paneer,"Fresh Paneer from local farms. High quality dairy product, rich in nutrients and perfect for daily use."
17,Yogurt,Dairy,168,kg,https://source.unsplash.com/400x400/?Yogurt,"Fresh Yogurt from local farms. High quality dairy product, rich in nutrients and perfect for daily use."
18,Rice,Grains,162,kg,https://source.unsplash.com/400x400/?Rice,"Fresh Rice from local farms. High quality grains product, rich in nutrients and perfect for daily use."
